,News Source,Tweet,Tweets Ago,Date,Compound,Positive,Neutral,Negative
101,@BBCNews,"X-ray body scanner not used at Wandsworth prison, report finds https://t.co/qdmkf54gIX",102,Fri Jul 13 01:05:12 +0000 2018,-0.5106,0.0,0.248,0.752
102,@BBCNews,Derry: Petrol bombs thrown at the PSNI https://t.co/Yzt3T2i68r,103,Fri Jul 13 01:00:22 +0000 2018,0.0,0.0,0.0,1.0
103,@BBCNews,Norfolk Battle of Britain ace Tom 'Ginger' Neil dies https://t.co/gOYPCqUDu0,104,Fri Jul 13 00:55:39 +0000 2018,-0.3818,0.0,0.224,0.776
104,@BBCNews,"'See you in court,' Nova Scotia lotto win aunt tells nephew https://t.co/7gGUmueJws",105,Fri Jul 13 00:17:01 +0000 2018,0.5859,0.257,0.0,0.743
105,@BBCNews,Phone in the right hand? You're a hacker! https://t.co/tIakfiE7AI,106,Fri Jul 13 00:02:27 +0000 2018,0.5411,0.333,0.0,0.667
106,@BBCNews,Trump in the UK: The rules around aerial protests https://t.co/tSaHU6jn4R,107,Thu Jul 12 23:59:38 +0000 2018,-0.2263,0.0,0.174,0.826
107,@BBCNews,Quiz: Who's the hospital hero? https://t.co/KlN9WjN9tY,108,Thu Jul 12 23:52:01 +0000 2018,0.5574,0.419,0.0,0.581
108,@BBCNews,"Iceman's last meal was high-fat, high-calorie feast https://t.co/K2p6ngPAKr",109,Thu Jul 12 23:42:07 +0000 2018,0.0,0.0,0.0,1.0
109,@BBCNews,Trump 'riding a unicorn over a rainbow' says ex-spokesman Spicer https://t.co/UfblU3K1nt,110,Thu Jul 12 23:15:43 +0000 2018,0.0,0.0,0.0,1.0
110,@BBCNews,Newspaper headlines: Trump accuses May of 'wrecking Brexit' https://t.co/zUwWpVBnHm,111,Thu Jul 12 22:26:19 +0000 2018,-0.34,0.0,0.231,0.769
111,@BBCNews,Donald Trump gives May's Brexit plan both barrels https://t.co/G7AGVwMFjZ,112,Thu Jul 12 22:10:32 +0000 2018,0.0,0.0,0.0,1.0
112,@BBCNews,Trump: Brexit plan 'will probably kill' US trade deal https://t.co/bmdIg28fBn,113,Thu Jul 12 22:05:58 +0000 2018,-0.6908,0.0,0.343,0.657
113,@BBCNews,"Friday's Times: ""Trump hits out at May's soft #Brexit blueprint"" (via @hendopolis) #tomorrowspaperstoday https://t.co/Ax0t0P3ous",114,Thu Jul 12 21:59:26 +0000 2018,0.0,0.0,0.0,1.0
